Image Name,Bounding Box coordinates,,,,Image class
00001.jpg,39,116,569,375,14
00002.jpg,36,116,868,587,3
00003.jpg,85,109,601,381,91
00004.jpg,621,393,1484,1096,134
00005.jpg,14,36,133,99,106
00006.jpg,259,289,515,416,123
00007.jpg,88,80,541,397,89
00008.jpg,73,79,591,410,96
00009.jpg,20,126,1269,771,167
00010.jpg,21,110,623,367,58
00011.jpg,51,93,601,393,49
00012.jpg,6,62,499,286,186
00013.jpg,30,36,418,307,135
00014.jpg,31,246,778,540,85
00015.jpg,32,77,589,379,193
00016.jpg,27,49,611,396,172
00017.jpg,39,52,233,150,14
00018.jpg,3,8,190,147,73
00019.jpg,247,287,1366,761,192
00020.jpg,17,281,961,596,57
00021.jpg,17,156,695,375,79
00022.jpg,212,538,1893,1131,36
00023.jpg,11,28,476,234,120
00024.jpg,53,126,973,621,170
00025.jpg,34,87,567,343,194
00026.jpg,30,174,598,379,134
00027.jpg,80,107,606,336,184
00028.jpg,45,115,585,382,86
00029.jpg,28,139,1564,1126,180
00030.jpg,82,109,874,521,194
00031.jpg,55,318,446,564,154
00032.jpg,12,31,471,350,139
00033.jpg,34,197,1011,656,66
00034.jpg,37,63,614,397,133
00035.jpg,223,87,1111,670,154
00036.jpg,138,41,521,223,104
00037.jpg,31,87,616,344,38
00038.jpg,16,89,459,326,97
00039.jpg,53,113,614,350,105
00040.jpg,214,110,660,403,142
00041.jpg,61,55,566,408,13
00042.jpg,28,61,622,371,191
00043.jpg,22,39,588,362,119
00044.jpg,220,193,537,364,38
00045.jpg,12,108,489,297,186
00046.jpg,28,80,759,466,25
00047.jpg,84,248,1102,899,194
00048.jpg,142,69,753,451,177
00049.jpg,166,543,887,903,173
00050.jpg,20,96,564,341,42
00051.jpg,41,181,607,465,91
00052.jpg,39,29,774,395,148
00053.jpg,161,191,425,307,15
00054.jpg,58,562,1528,1081,97
00055.jpg,80,120,582,391,42
00056.jpg,32,48,472,267,53
00057.jpg,260,138,972,439,44
00058.jpg,11,35,256,173,65
00059.jpg,68,91,607,354,90
00060.jpg,129,120,345,269,124
00061.jpg,11,104,1011,742,114
